Sample	Counts
ERR634971	14919791
ERR634972	21421776
ERR634973	14967725
ERR634974	14704993
ERR634975	16925347
ERR634976	23736813
ERR634977	25184893
ERR634978	14911010
ERR634979	21294140
ERR634980	24185809
ERR634981	14124935
ERR634982	8247405
ERR634983	19382674
ERR634984	28114172
ERR634985	35164970
ERR634986	23950597
ERR634987	6233765
ERR634988	8741207
ERR634989	21769125
ERR634990	8095483
ERR634991	7833681
ERR634992	29908896
ERR634993	17258397
ERR634994	16214922
ERR589346	12099091
ERR589347	14505535
ERR589348	10334300
ERR589349	4776215
ERR589350	14304904
ERR589351	13863519
ERR589352	10349248
ERR589353	14148840
ERR589354	14511626
ERR589355	19313932
ERR589356	10605183
ERR589357	12948423
ERR589358	16829396
ERR589359	14869465
ERR589360	11402356
ERR589361	15892523
ERR589362	12167667
ERR589363	17440940
ERR589364	15185722
ERR589365	15269379
ERR589366	16412359
ERR589367	12851369
ERR589368	11330009
ERR589369	14741656
ERR589370	16593265
ERR589371	16645506
ERR589372	17211694
ERR589373	16581911
ERR589374	16131123
ERR589375	18203418
ERR589376	15375076
ERR589377	13392751
ERR589378	13484423
ERR589379	14195641
ERR589380	13476075
ERR589381	15061162
ERR589382	7424460
ERR589383	3715164
ERR589384	6633620
ERR589385	3711218
ERR589386	5565947
ERR589388	7007724
ERR589389	3527682
ERR589390	3357857
ERR589392	8806440
ERR589393	4077196
ERR589398	3734517
ERR589400	2893644
ERR589402	10187160
ERR589403	5395671
ERR589404	12769220
ERR589405	6843075
ERR589406	6985776
ERR589407	3689864
ERR589408	6049375
ERR589409	3321522
ERR589410	5800847
ERR589411	3224097
ERR589414	7608452
ERR589415	3517423
ERR589416	18752131
ERR589417	9927438
ERR589418	12342240
ERR589419	6629084
ERR589420	33887481
ERR589421	14979066
ERR589422	3163753
ERR589424	13856049
ERR589425	7931590
ERR589426	7729331
ERR589427	5225598
ERR589428	2459521
ERR589430	9390587
ERR589431	4512987
ERR589432	29332632
ERR589433	15724274
ERR589434	23848962
ERR589435	12677223
ERR589436	12043595
ERR589437	5520719
ERR589438	5182753
ERR589440	20984619
ERR589441	20754148
ERR589442	21499519
ERR589443	14983429
ERR589444	14881251
ERR589445	11599010
ERR589447	13564191
ERR589448	14396983
ERR589449	10867363
ERR589450	16025818
ERR589451	5604267
ERR589452	15765168
ERR589453	15885073
ERR589454	18085733
ERR589455	6921521
ERR589456	5087778
ERR589458	5389449
ERR589460	16238590
ERR589461	19462376
ERR589462	14502862
ERR589463	13740342
ERR589465	16655338
ERR589466	11567165
ERR589467	13578984
ERR589468	18081277
ERR589469	12052573
ERR589470	14967669
ERR589471	14983491
ERR589472	13348940
ERR589473	20112414
ERR589474	15195826
ERR589475	15651901
ERR589476	18680953
ERR589477	13226772
ERR589478	14048756
ERR589479	14260839
ERR589480	11750092
ERR589481	14275947
ERR589482	13619022
ERR589483	13224044
ERR589484	13127227
ERR589485	17662480
ERR589486	8835494
ERR589488	12405505
ERR589489	7632534
